@tick,ticktime
338,1.4015542E7
339,1.1983917E7
340,1.0618708E7
341,1.0810792E7
342,1.602225E7
343,2.9410166E7
344,1.2632333E7
345,1.4513208E7
346,1.1940667E7
347,1.4951708E7
348,1.6312541E7
349,1.2575542E7
350,1.0444041E7
351,1.1103333E7
352,1.59305E7
353,1.2140709E7
354,1.0271125E7
355,1.1398292E7
356,2.283575E7
357,1.1362458E7
358,1.0755292E7
359,9720750.0
360,1.1870667E7
361,1.1392333E7
362,1.1158333E7
363,1.1824334E7
364,1.5258916E7
365,1.1709584E7
366,9795875.0
367,1.1182833E7
368,1.2517667E7
369,9603750.0
370,1.0865625E7
371,1.24675E7
372,1.0189666E7
373,1.2449041E7
374,1.08665E7
375,1.0460667E7
376,1.4882584E7
377,2.1328083E7
378,1.0857333E7
379,1.3451167E7
380,1.982E7
381,1.3362541E7
382,1.20765E7
383,9876042.0
384,1.2433708E7
385,1.0921292E7
386,1.141875E7
387,1.1576625E7
388,1.5148125E7
389,1.18275E7
390,1.1530875E7
391,1.0969834E7
392,1.4871292E7
393,1.2327334E7
394,1.021875E7
395,1.0814709E7
396,1.4824667E7
397,1.2069042E7
398,1.2553125E7
399,1.0959E7
400,1.34495E7
401,1.3161E7
402,1.2163166E7
403,1.080825E7
404,1.42285E7
405,1.2559542E7
406,1.2392292E7
407,1.2143708E7
408,1.397475E7
409,1.1401375E7
410,1.24135E7
411,1.217175E7
412,1.3323458E7
413,1.2861291E7
414,1.5901959E7
415,1.6842708E7
416,1.2119833E7
417,1.0541791E7
418,1.1030417E7
419,1.5940334E7
420,1.2027E7
421,2.1939542E7
422,1.586725E7
423,1.2200584E7
424,1.931E7
425,1.4122458E7
426,1.3052625E7
427,1.0370334E7
428,2.6691041E7
429,1.7103708E7
430,1.5825834E7
431,1.1025083E7
432,1.3133542E7
433,1.3121167E7
434,1.2475209E7
435,1.0408333E7
436,1.2004542E7
437,1.0793542E7
438,9824000.0
439,1.12575E7
440,3.0119584E7
441,1.5260209E7
442,1.0492583E7
443,1.2781916E7
444,1.3678416E7
445,1.2711334E7
446,9819750.0
447,1.1586458E7
448,1.1842833E7
449,9687459.0
450,1.1441625E7
451,1.6446042E7
452,1.2327209E7
453,1.0745625E7
454,1.0482375E7
455,2.1482125E7
456,1.2063875E7
457,1.1718542E7
458,1.1502625E7
459,1.6505459E7
460,1.3588E7
461,1.2572042E7
462,1.5926917E7
463,1.2884375E7
464,9851042.0
465,1.1156833E7
466,2.903875E7
467,1.6517708E7
468,1.0209041E7
469,2.7903791E7
470,2.8817667E7
471,1.3467042E7
472,9990084.0
473,1.3177667E7
474,2.1277583E7
475,1.3246125E7
476,1.1502167E7
477,9763375.0
478,1.2271709E7
479,1.105625E7
480,1.0086E7
481,1.10155E7
482,2.8873709E7
483,1.6555375E7
484,1.0207625E7
485,1.1721625E7
486,1.8482917E7
487,1.1956541E7
488,1.4416875E7
489,1.2749125E7
490,9941292.0
491,1.0150917E7
492,1.0333583E7
493,1.2786209E7
494,1.4790959E7
495,1.1158292E7
496,1.0813875E7
497,1.3285E7
498,3.6501417E7
499,1.3258583E7
500,2.6756375E7
501,1.1286167E7
502,1.2672625E7
503,1.3389834E7
504,1.2253459E7
505,1.0190584E7
506,1.1842875E7
507,1.1072709E7
508,9051542.0
509,1.1517334E7
510,1.2769291E7
511,1.3529375E7
512,1.0486458E7
513,1.8455291E7
514,1.3983541E7
515,1.3881666E7
516,1.2310083E7
517,1.054675E7
518,1.3370166E7
519,1.3377E7
520,1.2465833E7
521,1.0044625E7
522,1.8120042E7
523,1.0688458E7
524,1.1028291E7
525,1.0073833E7
526,1.303075E7
527,9943083.0
528,9942666.0
529,1.1359834E7
530,1.6017375E7
531,1.2816584E7
532,1.0734958E7
533,1.0924792E7
534,1.5297792E7
535,1.2606542E7
536,9968083.0
537,1.4088459E7
538,1.2668208E7
539,1.1220666E7
540,1.2582875E7
541,1.0714334E7
542,1.1974708E7
543,1.0489166E7
544,9856625.0
545,1.1581833E7
546,1.6212958E7
547,1.2251958E7
548,9889167.0
549,1.1051041E7
550,1.2157292E7
551,9508625.0
552,1.8306916E7
553,1.0488291E7
554,2.8608791E7
555,1.6338291E7
556,1.4851417E7
557,1.339725E7
558,1.0228375E7
559,1.154675E7
560,1.0154625E7
561,1.2602584E7
562,1.4215084E7
563,1.2542916E7
564,9945792.0
565,1.2766E7
566,2.7293667E7
567,1.0694333E7
568,1.2712291E7
569,1.3795584E7
570,1.651475E7
571,1.0464083E7
572,1.34865E7
573,1.0676E7
574,1.1477625E7
575,1.7489209E7
576,1.3093917E7
577,1.0454834E7
578,1.3950375E7
579,1.5533458E7
580,1.2619375E7
581,1.0506209E7
582,1.0952125E7
583,1.564025E7
584,1.2644459E7
585,9782833.0
586,1.145775E7
587,1.5779791E7
588,1.2765916E7
589,1.0284875E7
590,1.3315125E7
591,1.4669E7
592,1.1698083E7
593,1.082175E7
594,1.1240292E7
595,1.4905583E7
596,1.2951292E7
597,1.0062625E7
598,3.0105375E7
599,1.5028792E7
600,1.12385E7
601,1.0530875E7
602,1.2608792E7
603,9941083.0
604,1.0048917E7
605,1.1521541E7
606,1.5519916E7
607,1.2821791E7
608,1.0220958E7
609,1.0457041E7
610,2.9355625E7
611,1.6489917E7
612,1.073075E7
613,1.3593125E7
614,1.3086666E7
615,1.253275E7
616,1.0637917E7
617,1.2809125E7
618,1.39115E7
619,1.2445292E7
620,1.044925E7
621,1.1809083E7
622,1.0901458E7
623,1.6965083E7
624,9794583.0
625,1.1575E7
626,1.1412666E7
627,9966291.0
628,1.1280958E7
629,2.9309708E7
630,1.3062E7
631,1.1102708E7
632,1.4531958E7
633,2.7511583E7
634,1.2008166E7
635,1.2756333E7
636,1.3018166E7
637,1.1942167E7
638,1.0369916E7
639,1.2262916E7
640,1.0378208E7
641,1.0119167E7
642,1.0814333E7
643,3.4169125E7
644,1.2903833E7
645,2.8771583E7
646,1.6653375E7
647,1.0342E7
648,1.2302584E7
649,2.7467708E7
650,1.118825E7
651,1.3456541E7
652,1.2944958E7
653,1.1904708E7
654,1.0520834E7
655,1.2918417E7
656,9790917.0
657,9286834.0
658,1.1109333E7
659,1.2652E7
660,1.6704875E7
661,1.7021416E7
662,1.1228917E7
663,1.2298541E7
664,1.3421958E7
665,1.2495916E7
666,1.02365E7
667,1.2152166E7
668,1.0680625E7
669,9974125.0
670,1.0995708E7
671,1.2172166E7
672,9908500.0
673,1.086525E7
674,1.2406542E7
675,1.0820083E7
676,1.2823584E7
677,2.6543042E7
678,1.1668334E7
679,1.3063292E7
680,1.8137333E7
681,1.1987083E7
682,1.5908083E7
683,1.2083209E7
684,1.0268541E7
685,1.0844083E7
686,2.9064417E7
687,1.6376417E7
688,1.0106792E7
689,2.1314667E7
690,1.1406541E7
691,1.1851292E7
692,1.5914E7
693,1.2892708E7
694,1.2465083E7
695,1.0927708E7
696,1.3874959E7
697,1.2045292E7
698,1.5084167E7
699,1.1359208E7
700,1.2846458E7
701,1.4507958E7
702,1.28635E7
703,1.0681208E7
704,1.2754875E7
705,1.43345E7
706,1.1841292E7
707,1.0699E7
708,1.302475E7
709,1.3631875E7
710,1.2459166E7
711,1.0886833E7
712,1.2496625E7
713,2.6299625E7
714,9914459.0
715,1.19665E7
716,1.1306959E7
717,1.0165542E7
718,1.1225166E7
719,1.6363209E7
720,1.2448708E7
721,1.6272167E7
722,1.0928292E7
723,1.2742042E7
724,1.3501375E7
