@tick,heap MiB
1,895.7937622070312
2,907.2971801757812
3,921.7937622070312
4,562.6784057617188
5,570.290771484375
6,588.290771484375
7,602.2958374023438
8,611.290771484375
9,626.7937622070312
10,639.790771484375
11,654.290771484375
12,663.290771484375
13,677.290771484375
14,706.290771484375
15,717.290771484375
16,732.790771484375
17,742.290771484375
18,759.790771484375
19,768.790771484375
20,779.1541748046875
21,796.290771484375
22,809.290771484375
23,825.6717529296875
24,857.3028564453125
25,868.3072509765625
26,873.290771484375
27,892.290771484375
28,908.790771484375
29,920.790771484375
30,572.7225952148438
31,585.7628173828125
32,605.2628173828125
33,629.2628173828125
34,643.2628173828125
35,653.7628173828125
36,665.7469482421875
37,679.7628173828125
38,684.2469482421875
39,690.2628173828125
40,701.2469482421875
41,710.2628173828125
42,714.6378784179688
43,723.7628173828125
44,736.2628173828125
45,744.7628173828125
46,751.7628173828125
47,763.2628173828125
48,769.2628173828125
49,783.2628173828125
50,803.7628173828125
51,817.2628173828125
52,828.7628173828125
53,847.7628173828125
54,870.268798828125
55,880.7628173828125
56,893.7628173828125
57,906.7628173828125
58,921.2628173828125
59,929.7628173828125
60,576.6563110351562
61,592.0313110351562
62,608.1563110351562
63,617.1592407226562
64,639.1563110351562
65,654.1563110351562
66,665.1563110351562
67,681.1563110351562
68,700.1563110351562
69,714.6563110351562
70,729.678955078125
71,742.1563110351562
72,763.1563110351562
73,774.6563110351562
74,787.1563110351562
75,807.1563110351562
76,836.9063110351562
77,859.1614379882812
78,874.6563110351562
79,888.6563110351562
80,908.6563110351562
81,580.6312255859375
82,597.1563110351562
83,614.6915893554688
84,627.16015625
85,644.6622314453125
86,661.1563110351562
87,678.1563110351562
88,696.1563110351562
89,723.1563110351562
90,742.6563110351562
91,760.6563110351562
92,803.176513671875
93,827.1563110351562
94,849.6563110351562
95,860.1563110351562
96,876.6563110351562
97,889.1563110351562
98,909.7813110351562
99,928.1563110351562
100,579.5
101,597.5
102,618.5
103,632.5
104,641.5
105,662.0
106,679.5
107,694.0
108,705.0
109,721.0
110,761.5
111,776.5
112,798.0
113,816.0
114,834.5
115,848.5
116,868.75
117,882.5250244140625
118,899.0
119,918.0
120,583.5
121,599.0059814453125
122,608.5
123,618.5
124,626.0
125,644.51171875
126,652.5
127,658.5
128,670.0
129,675.0233154296875
130,684.0
131,693.5
132,707.0
133,717.0039672851562
134,724.0
135,739.5
136,750.5
137,763.0
138,776.5
139,787.015625
140,804.5
141,816.5
142,842.5
143,858.0
144,875.0
145,904.0
146,915.024658203125
147,577.0
148,586.9356689453125
149,598.5
150,609.5
151,622.0
152,649.4678344726562
153,674.0
154,689.4678344726562
155,697.5
156,710.0040283203125
157,725.5
158,755.5
159,779.5228881835938
160,786.0192260742188
161,796.0
162,813.5
163,830.0
164,844.0
165,864.0
166,884.9678344726562
167,902.9678344726562
168,915.5
169,582.3092041015625
170,606.801513671875
171,629.801513671875
172,654.801513671875
173,670.801513671875
174,692.801513671875
175,711.801513671875
176,735.801513671875
177,747.3092651367188
178,765.1826782226562
179,814.301513671875
180,827.8076171875
